Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Estimates Start After
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,199.394,209.005,209.703,213.518,164.779,160.784,173.947,2015
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.385,2636.309,3141.027,3508.959,3986.564,4943.502,3886.059,4480.719,5430.57,5574.2,5475.706,5458.875,4123.297,3944.425,4187.783,2015
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",124.137,102.813,90.462,85.5,81.69,84.95,117.799,146.215,158.968,160.706,201.235,206.535,230.03,219.932,239.931,289.904,281.467,255.17,260.971,260.544,238.603,238.046,259.777,319.613,371.388,388.029,410.173,472.475,521.084,485.781,484.45,527.491,498.16,520.254,532.607,455.336,466.96,462.715,2015
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12596.225,10423.705,9179.719,8673.117,8290.865,8617.618,11948.55,14821.916,16096.817,16187.813,20229.1,20680.407,22952.524,21843.982,23754.018,28616.748,27749.785,25089.911,25604.828,25509.139,23303.129,23193.675,25197.253,30863.069,35722.715,37146.684,39021.772,44638.265,48850.706,45176.025,44691.319,47950.985,44900.1,46610.923,47635.668,40520.104,41283.274,40696.472,2015
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.343,5.643,5.734,5.97,6.702,7.375,7.917,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.238,34.831,39.267,2015
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,1005.873,1057.72,1010.58,1005.409,959.844,914.958,918.468,979.59,1049.064,1240.94,1399.8,1749.2,1789.604,1994.911,2394.789,2664.571,2969.52,3146.851,3099.219,3196.557,3546.914,2012
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",273.787,306.223,313.524,340.55,355.373,364.771,377.445,431.334,507.378,565.077,593.962,610.322,592.401,577.2,578.138,604.034,628.569,652.834,631.852,676.005,742.319,736.425,757.981,892.498,1023.17,1169.467,1315.515,1464.978,1549.073,1371.152,1613.463,1788.647,1824.289,1842.627,1792.883,1552.808,1529.224,1600.265,2016
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11188.36,12355.415,12499.474,13441.381,13894.395,14131.186,14479.538,16339.729,18966.339,20763.516,21495.149,21807.255,20915.034,20145.558,19963.295,20641.543,21257.09,21857.611,20975.139,22261.148,24221.265,23777.486,24210.039,28242.185,32075.361,36315.727,40441.766,44599.148,46660.868,40831.097,47512.679,52143.843,52577.385,52494.129,50509.592,43349.618,42210.132,43611.264,2016
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.681,7.451,8.687,10.438,9.312,10.702,12.181,12.411,12.994,14.003,10.952,10.103,9.636,2015
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",167.345,193.153,182.076,177.734,186.265,196.954,236.6,261.657,298.418,274.973,323.311,312.824,318.428,271.777,215.007,248.074,269.041,252.174,277.79,238.555,210.22,252.59,287.299,360.742,567.507,739.472,804.514,915.118,1072.769,933.675,1046.89,1162.474,1155.526,1180.371,1240.999,946.877,852.159,790.812,2004
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.784,50.969,54.583,54.249,53.581,48.877,48.944,50.948,54.925,55.384,56.412,58.308,68.997,78.195,98.26,111.237,116.838,128.267,118.442,103.761,99.875,98.201,97.946,94.645,117.092,146.547,162.766,207.465,244.302,233.893,286.954,335.437,369.43,380.17,378.323,291.53,282.357,306.439,2016
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1644.643,1752.718,1836.665,1786.854,1728.19,1587.194,1557.076,1587.582,1676.397,1656.045,1653.128,1673.892,1941.929,2159.589,2665.578,2967.146,3066.617,3322.988,3021.488,2613.62,2478.536,2406.053,2369.905,2261.583,2763.699,3416.901,3749.84,4722.938,5495.984,5200.047,6305.285,7284.992,7930.752,8067.943,7937.633,6047.97,5792.182,6216.559,2015
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.508,0.528,0.517,0.52,0.539,2015
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6975.991,7082.209,6868.992,7187.65,7466.584,7311.652,7355.676,7621.45,2011
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.899,3.437,3.394,3.25,2.377,2.311,2.327,2.366,2.762,3.157,4.801,5.311,5.955,6.938,8.086,9.501,10.316,11.135,12.008,12.465,13.134,13.813,14.307,15.047,15.798,17.094,18.551,20.105,21.431,20.661,21.418,23.139,23.814,24.351,25.054,25.85,26.709,27.548,2016
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",827.453,721.362,706.746,672.756,488.958,471.671,470.105,472.315,543.663,611.688,914.457,998.308,1104.768,1270.696,1462.134,1699.553,1828.989,1956.889,2092.056,2156.522,2260.602,2365.188,2437.257,2550.288,2664.132,2872.908,3107.32,3356.411,3571.833,3432.06,3546.076,3818.317,3923.163,3998.506,4100.524,4216.998,4343.44,4465.85,2007
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.231,1.264,1.222,1.149,1.205,1.168,1.32,1.205,1.136,1.21,1.337,1.384,1.532,1.635,1.825,1.97,2.129,2.094,1.656,1.942,1.684,1.66,1.843,2.316,2.727,3.007,3.103,3.405,3.647,2.971,3.251,3.775,3.972,4.19,4.47,4.391,4.64,4.869,2015
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1941.876,1947.628,1833.922,1682.16,1727.279,1647.503,1845.552,1678.205,1579.6,1669.913,1835.039,1882.412,2057.576,2166.076,2383.906,2540.567,2714.288,2641.169,2068.693,2408.225,2076.009,2038.864,2259.176,2836.028,3332.719,3658.517,3749.909,4079.271,4325.093,3488.231,3780.244,4351.926,4543.831,4758.924,5042.239,4928.895,5181.928,5411.303,2014
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.171,0.219,0.249,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.323,0.457,0.489,0.381,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.588,0.592,0.697,0.869,0.829,0.851,1.099,0.99,1.046,1.055,1.041,1.155,1.166,2015
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",218.699,273.941,305.168,337.149,229.638,330.465,316.017,262.605,239.877,282.621,337.234,466.191,487.532,372.035,414.591,428.799,399.43,371.276,329.053,347.712,304.695,311.971,328.919,375.208,409.25,442.774,436.72,502.821,613.081,571.99,582.54,736.685,649.025,671.137,662.382,639.508,694.043,685.61,2004
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.464,18.436,19.688,20.729,21.364,21.79,2015
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",965.369,1027.84,1026.636,1055.263,1104.026,1174.226,1192.962,1262.822,1365.687,1482.571,850.16,832.248,902.651,901.375,860.229,968.433,911.308,979.457,1063.53,1049.427,1137.825,1187.493,1196.349,1228.48,1298.936,1405.778,1547.267,1720.767,1899.549,1962.064,2096.203,2315.746,2386.737,2348.766,2472.853,2567.048,2608.576,2623.242,2001
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",93.936,100.012,125.753,156.132,161.796,181.684,210.492,278.747,314.739,378.05,569.585,295.443,48.887,63.625,79.847,112.783,154.126,180.421,201.452,270.641,357.875,325.377,128.527,151.743,181.283,218.207,257.85,337.654,390.67,396.694,463.67,570.039,382.017,379.436,414.965,374.306,376.755,368.488,2016
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2390.77,2449.722,2964.479,3542.253,3532.82,3817.94,4257.101,5502.096,6063.289,7107.934,10451.86,5291.173,862.881,1106.75,1368.855,1905.536,2566.417,2954.326,3243.832,4285.556,5572.723,4982.726,1938.572,2254.223,2652.469,3144.645,3657.652,4731.294,5405.991,5419.579,6252.516,7585.381,5024.034,4931.458,5288.18,4709.649,4682.507,4525.619,2012
Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.004,0.587,0.587,1.075,1.539,1.935,1.353,0.953,0.621,0.767,0.915,1.078,1.236,1.392,1.618,1.88,1.956,1.846,1.3,1.422,1.572,1.565,1.656,2.033,2.374,2.717,3.548,4.217,5.292,5.582,6.842,8.062,9.4,10.788,11.851,12.561,13.79,14.971,2016
Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",310.213,177.884,173.998,310.325,432.59,529.381,360.023,246.569,156.138,187.485,215.548,246.71,274.825,300.988,340.482,385.837,392.316,362.171,249.877,268.42,291.735,286.142,298.565,361.865,416.57,469.187,601.787,701.239,861.968,890.638,1069.749,1236.237,1414.462,1593.589,1717.967,1786.941,1925.228,2051.054,2016
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.074,3.894,2.656,3.66,4.327,3.614,2.817,3.298,3.314,2.718,2.838,4.452,5.546,7.535,9.11,11.119,12.997,15.745,17.289,17.405,17.248,17.595,19.091,19.749,20.957,21.286,21.797,24.577,28.833,35.14,38.01,40.076,44.1,47.598,49.874,50.8,51.991,53.915,2013
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1597.854,1538.803,1053.458,1451.65,1716.057,1417.256,1088.521,1260.38,1252.563,1016.432,1050.1,1617.319,1965.326,2597.534,3062.406,3665.366,4232.268,5090.901,5552.029,5513.693,5330.985,5240.259,5430.421,5351.762,5438.372,5339.091,5342.637,5936.769,6887.697,8274.294,8755.85,9143.861,9966.391,10654.634,11057.875,11156.012,11308.913,11615.725,2012
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.106,0.109,0.108,0.111,0.115,0.125,0.127,0.131,0.138,0.144,0.151,0.153,0.153,0.165,0.173,0.185,0.191,0.183,0.179,0.183,0.188,2015
